Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec
48,LE70200472011005EDC00,LE70200472011005EDC00,0,Y,LE70200472011005EDC00,BUMPER,EDC,DAY, 020, 047,2011/01/05,2011:005:16:15:55.2447500,2011:005:16:16:21.9987499, 9, 9,   5.21,   0.05,  10.42,   1.22,   9.15,40.8507576,146.16645813,18°47'00.64"N,89°50'17.27"W,19°43'08.54"N,90°33'07.02"W,19°27'28.84"N,88°45'16.99"W,18°06'14.26"N,90°54'47.34"W,17°50'43.33"N,89°07'58.08"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-11.378396,HH,HH,HH,HH,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72821   (19°43'41.56"N), -91.01906  (91°01'08.62"W), 19.76519   (19°45'54.68"N), -88.70848  (88°42'30.53"W), 17.81866   (17°49'07.18"N), -90.97398   (90°58'26.33"W), 17.85181   (17°51'06.52"N), -88.68927   (88°41'21.37"W),14121,16161,7061,8081,7061,8081,,,51,4.469,2.993,3.319,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78351,-89.83813,19.72821,-91.01906,19.76519,-88.70848,17.81866,-90.97398,17.85181,-88.68927
49,LE70200472010354ASN00,LE70200472010354ASN00,0,Y,LE70200472010354ASN00,BUMPER,ASN,DAY, 020, 047,2010/12/20,2010:354:16:15:45.5074374,2010:354:16:16:12.2613749, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,41.11778259,148.69360352,18°46'59.56"N,89°49'46.96"W,19°43'03.11"N,90°32'35.77"W,19°27'23.29"N,88°44'48.34"W,18°06'09.18"N,90°54'18.68"W,17°50'38.18"N,89°07'31.91"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,4.085814,HH,HH,HH,HH,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72859   (19°43'42.92"N), -91.00192  (91°00'06.91"W), 19.76532   (19°45'55.15"N), -88.69417  (88°41'39.01"W), 17.81089   (17°48'39.20"N), -90.95685   (90°57'24.66"W), 17.84380   (17°50'37.68"N), -88.67504   (88°40'30.14"W),14181,16141,7091,8071,7091,8071,,,121,6.706,5.195,4.241,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78321,-89.82971,19.72859,-91.00192,19.76532,-88.69417,17.81089,-90.95685,17.8438,-88.67504
50,LE70200472010338ASN00,LE70200472010338ASN00,0,Y,LE70200472010338ASN00,BUMPER,ASN,DAY, 020, 047,2010/12/04,2010:338:16:15:38.5979374,2010:338:16:16:05.3519375, 9, 9,   0.16,   0.06,   0.09,   0.08,   0.40,42.96727371,149.78308105,18°46'58.91"N,89°50'19.93"W,19°43'11.42"N,90°33'04.97"W,19°27'31.75"N,88°45'20.81"W,18°06'15.59"N,90°54'48.20"W,17°50'45.10"N,89°08'04.60"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-9.515986,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72821   (19°43'41.56"N), -91.01906  (91°01'08.62"W), 19.76516   (19°45'54.58"N), -88.71134  (88°42'40.82"W), 17.81866   (17°49'07.18"N), -90.97398   (90°58'26.33"W), 17.85179   (17°51'06.44"N), -88.69210   (88°41'31.56"W),14121,16141,7061,8071,7061,8071,,,99,6.087,4.354,4.254,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78303,-89.83887,19.72821,-91.01906,19.76516,-88.71134,17.81866,-90.97398,17.85179,-88.6921
51,LE70200472010306ASN00,LE70200472010306ASN00,0,Y,LE70200472010306ASN00,BUMPER,ASN,DAY, 020, 047,2010/11/02,2010:306:16:15:14.5755000,2010:306:16:15:41.3294999, 9, 9,  21.78,   4.11,  24.98,  23.15,  34.87,50.05293274,145.89430237,18°46'58.44"N,89°49'28.38"W,19°43'01.67"N,90°32'14.06"W,19°27'22.03"N,88°44'31.92"W,18°06'04.50"N,90°53'57.08"W,17°50'33.58"N,89°07'15.78"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,3.482721,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72872   (19°43'43.39"N), -90.99621  (90°59'46.36"W), 19.76538   (19°45'55.37"N), -88.68844  (88°41'18.38"W), 17.80830   (17°48'29.88"N), -90.95114   (90°57'04.10"W), 17.84114   (17°50'28.10"N), -88.66935   (88°40'09.66"W),14201,16141,7101,8071,7101,8071,,,24,5.103,3.561,3.655,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.7829,-89.82455,19.72872,-90.99621,19.76538,-88.68844,17.8083,-90.95114,17.84114,-88.66935
52,LE70200472010290ASN00,LE70200472010290ASN00,0,Y,LE70200472010290ASN00,BUMPER,ASN,DAY, 020, 047,2010/10/17,2010:290:16:15:06.6841249,2010:290:16:15:33.4381250, 9, 9,  10.22,   0.15,  11.08,   3.12,  26.51,54.23437119,140.06494141,18°46'58.73"N,89°50'24.47"W,19°43'01.45"N,90°33'11.59"W,19°27'21.17"N,88°45'26.28"W,18°06'05.40"N,90°54'55.08"W,17°50'33.79"N,89°08'10.61"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,11.933059,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72544   (19°43'31.58"N), -91.02185  (91°01'18.66"W), 19.76245   (19°45'44.82"N), -88.71131  (88°42'40.72"W), 17.81590   (17°48'57.24"N), -90.97674   (90°58'36.26"W), 17.84908   (17°50'56.69"N), -88.69207   (88°41'31.45"W),14121,16161,7061,8081,7061,8081,,,38,5.458,3.349,4.31,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78298,-89.84013,19.72544,-91.02185,19.76245,-88.71131,17.8159,-90.97674,17.84908,-88.69207
53,LE70200472010274EDC02,LE70200472010274EDC02,0,Y,LE70200472010274EDC02,BUMPER,EDC,DAY, 020, 047,2010/10/01,2010:274:16:14:55.2393749,2010:274:16:15:21.9933749, 9, 9,  39.88,  21.77,   3.17,  82.52,  52.04,58.03052902,131.34138489,18°46'57.76"N,89°50'40.67"W,19°43'10.56"N,90°33'27.76"W,19°27'29.30"N,88°45'38.84"W,18°06'15.48"N,90°55'12.79"W,17°50'43.48"N,89°08'24.65"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,1.338186,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72261   (19°43'21.40"N), -91.02749  (91°01'38.96"W), 19.75969   (19°45'34.88"N), -88.71701  (88°43'01.24"W), 17.81308   (17°48'47.09"N), -90.98233   (90°58'56.39"W), 17.84632   (17°50'46.75"N), -88.69770   (88°41'51.72"W),14121,16161,7061,8081,7061,8081,,,30,3.706,2.576,2.664,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78271,-89.84463,19.72261,-91.02749,19.75969,-88.71701,17.81308,-90.98233,17.84632,-88.6977
54,LE70200472010194EDC00,LE70200472010194EDC00,0,Y,LE70200472010194EDC00,BUMPER,EDC,DAY, 020, 047,2010/07/13,2010:194:16:14:55.3297499,2010:194:16:15:22.0836875, 9, 9,  34.94,  33.54,  28.64,  36.58,  41.01,64.06963348,78.66818237,18°47'02.51"N,89°50'41.82"W,19°43'15.17"N,90°33'25.27"W,19°27'37.76"N,88°45'43.20"W,18°06'18.83"N,90°55'07.39"W,17°50'50.93"N,89°08'25.87"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-8.93662,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.72808   (19°43'41.09"N), -91.02477  (91°01'29.17"W), 19.76511   (19°45'54.40"N), -88.71707  (88°43'01.45"W), 17.81854   (17°49'06.74"N), -90.97962   (90°58'46.63"W), 17.85174   (17°51'06.26"N), -88.69776   (88°41'51.94"W),14121,16141,7061,8071,7061,8071,,,,,,,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78403,-89.84495,19.72808,-91.02477,19.76511,-88.71707,17.81854,-90.97962,17.85174,-88.69776
55,LE70200472010162EDC00,LE70200472010162EDC00,0,Y,LE70200472010162EDC00,BUMPER,EDC,DAY, 020, 047,2010/06/11,2010:162:16:14:50.5516250,2010:162:16:15:17.3056249, 9, 9,  43.88,  47.33,  25.70,  47.13,  55.36,65.36721802,75.35346222,18°47'02.29"N,89°50'18.20"W,19°43'07.46"N,90°33'06.30"W,19°27'29.88"N,88°45'20.74"W,18°06'10.26"N,90°54'48.56"W,17°50'41.42"N,89°08'03.84"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,2.154123,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.72840   (19°43'42.24"N), -91.01049  (91°00'37.76"W), 19.76524   (19°45'54.86"N), -88.70275  (88°42'09.90"W), 17.81072   (17°48'38.59"N), -90.96532   (90°57'55.15"W), 17.84373   (17°50'37.43"N), -88.68353   (88°41'00.71"W),14181,16141,7091,8071,7091,8071,,,,,,,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78397,-89.83839,19.7284,-91.01049,19.76524,-88.70275,17.81072,-90.96532,17.84373,-88.68353
56,LE70200472010146ASN00,LE70200472010146ASN00,0,Y,LE70200472010146ASN00,BUMPER,ASN,DAY, 020, 047,2010/05/26,2010:146:16:14:49.4814374,2010:146:16:15:16.2354375, 9, 9,  75.33,  50.34,  61.83,  97.03,  92.12,66.06845093,79.93125153,18°47'02.26"N,89°50'35.99"W,19°43'15.64"N,90°33'22.75"W,19°27'37.26"N,88°45'34.24"W,18°06'21.42"N,90°55'04.48"W,17°50'52.19"N,89°08'16.76"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,8.583058,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.73098   (19°43'51.53"N), -91.01627  (91°00'58.57"W), 19.76792   (19°46'04.51"N), -88.70565  (88°42'20.34"W), 17.81331   (17°48'47.92"N), -90.97103   (90°58'15.71"W), 17.84642   (17°50'47.11"N), -88.68638   (88°41'10.97"W),14181,16161,7091,8081,7091,8081,,,,,,,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78396,-89.84333,19.73098,-91.01627,19.76792,-88.70565,17.81331,-90.97103,17.84642,-88.68638
57,LE70200472010130EDC00,LE70200472010130EDC00,0,Y,LE70200472010130EDC00,BUMPER,EDC,DAY, 020, 047,2010/05/10,2010:130:16:14:50.8737499,2010:130:16:15:17.6277500, 9, 9,  10.70,   1.77,   5.48,  14.80,  20.75,66.05361176,88.49861145,18°47'01.43"N,89°51'34.34"W,19°43'07.93"N,90°34'23.74"W,19°27'29.66"N,88°46'34.86"W,18°06'12.06"N,90°56'05.64"W,17°50'42.61"N,89°09'17.50"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-8.145303,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73065   (19°43'50.34"N), -91.03055  (91°01'49.98"W), 19.76776   (19°46'03.94"N), -88.72282  (88°43'22.15"W), 17.81302   (17°48'46.87"N), -90.98515   (90°59'06.54"W), 17.84627   (17°50'46.57"N), -88.70336   (88°42'12.10"W),14181,16141,7091,8071,7091,8071,,,49,5.696,4.811,3.049,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78373,-89.85954,19.73065,-91.03055,19.76776,-88.72282,17.81302,-90.98515,17.84627,-88.70336
58,LE70200472010114ASN00,LE70200472010114ASN00,0,Y,LE70200472010114ASN00,BUMPER,ASN,DAY, 020, 047,2010/04/24,2010:114:16:14:54.4036874,2010:114:16:15:21.1576875, 9, 9,   3.52,   0.00,   0.21,   0.00,  13.87,64.68675232,99.44136047,18°47'01.39"N,89°53'11.44"W,19°43'02.06"N,90°35'59.82"W,19°27'23.90"N,88°48'12.60"W,18°06'06.08"N,90°57'42.52"W,17°50'37.00"N,89°10'55.88"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,3.513699,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72731   (19°43'38.32"N), -91.05904  (91°03'32.54"W), 19.76477   (19°45'53.17"N), -88.75142  (88°45'05.11"W), 17.80974   (17°48'35.06"N), -91.01333   (91°00'47.99"W), 17.84331   (17°50'35.92"N), -88.73164   (88°43'53.90"W),14181,16141,7091,8071,7091,8071,,,79,4.454,2.939,3.347,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78372,-89.88651,19.72731,-91.05904,19.76477,-88.75142,17.80974,-91.01333,17.84331,-88.73164
59,LE70200472010098EDC00,LE70200472010098EDC00,0,Y,LE70200472010098EDC00,BUMPER,EDC,DAY, 020, 047,2010/04/08,2010:098:16:14:55.0976874,2010:098:16:15:21.8516875, 9, 9,  11.71,   8.42,  23.13,   4.04,  11.26,61.74700928,110.36128998,18°47'02.36"N,89°54'14.69"W,19°43'03.50"N,90°37'02.60"W,19°27'25.52"N,88°49'18.23"W,18°06'07.06"N,90°58'43.54"W,17°50'37.86"N,89°11'59.78"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-3.278844,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72962   (19°43'46.63"N), -91.07624  (91°04'34.46"W), 19.76731   (19°46'02.32"N), -88.76862  (88°46'07.03"W), 17.80939   (17°48'33.80"N), -91.03027   (91°01'48.97"W), 17.84316   (17°50'35.38"N), -88.74862   (88°44'55.03"W),14201,16141,7101,8071,7101,8071,,,58,4.918,4.231,2.508,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78399,-89.90408,19.72962,-91.07624,19.76731,-88.76862,17.80939,-91.03027,17.84316,-88.74862
60,LE70200472010082ASN00,LE70200472010082ASN00,0,Y,LE70200472010082ASN00,BUMPER,ASN,DAY, 020, 047,2010/03/23,2010:082:16:14:52.6581875,2010:082:16:15:19.4121249, 9, 9,  14.99,   0.12,  15.73,   0.47,  43.65,57.57069778,119.69725037,18°47'00.71"N,89°54'46.44"W,19°43'09.59"N,90°37'30.76"W,19°27'31.72"N,88°49'48.61"W,18°06'13.28"N,90°59'12.16"W,17°50'44.56"N,89°12'30.60"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,13.43819,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72652   (19°43'35.47"N), -91.09331  (91°05'35.92"W), 19.76443   (19°45'51.95"N), -88.78576  (88°47'08.74"W), 17.81715   (17°49'01.74"N), -91.04740   (91°02'50.64"W), 17.85114   (17°51'04.10"N), -88.76568   (88°45'56.45"W),14121,16141,7061,8071,7061,8071,,,72,7.072,4.74,5.249,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78353,-89.9129,19.72652,-91.09331,19.76443,-88.78576,17.81715,-91.0474,17.85114,-88.76568
61,LE70200472010066ASN00,LE70200472010066ASN00,0,Y,LE70200472010066ASN00,BUMPER,ASN,DAY, 020, 047,2010/03/07,2010:066:16:14:47.4293124,2010:066:16:15:14.1832499, 9, 9,   4.65,   0.04,   1.69,   0.20,  16.67,52.81207657,127.22818756,18°47'00.92"N,89°54'47.88"W,19°43'11.06"N,90°37'32.56"W,19°27'32.80"N,88°49'50.30"W,18°06'15.26"N,90°59'13.78"W,17°50'46.10"N,89°12'32.22"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-.610875,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72942   (19°43'45.91"N), -91.08481  (91°05'05.32"W), 19.76723   (19°46'02.03"N), -88.77721  (88°46'37.96"W), 17.81192   (17°48'42.91"N), -91.03881   (91°02'19.72"W), 17.84579   (17°50'44.84"N), -88.75714   (88°45'25.70"W),14181,16141,7091,8071,7091,8071,,,60,4.212,2.659,3.266,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78359,-89.9133,19.72942,-91.08481,19.76723,-88.77721,17.81192,-91.03881,17.84579,-88.75714
62,LE70200472010034ASN00,LE70200472010034ASN00,0,Y,LE70200472010034ASN00,BUMPER,ASN,DAY, 020, 047,2010/02/03,2010:034:16:14:29.0585000,2010:034:16:14:55.8125000, 9, 9,  23.36,   5.11,  29.43,  23.36,  35.55,44.27656555,138.47181702,18°46'59.38"N,89°53'52.01"W,19°43'03.54"N,90°36'39.92"W,19°27'24.08"N,88°48'52.16"W,18°06'07.06"N,90°58'22.44"W,17°50'36.17"N,89°11'35.56"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-1.646166,HH,HH,HH,HH,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72975   (19°43'47.10"N), -91.07053  (91°04'13.91"W), 19.76737   (19°46'02.53"N), -88.76289  (88°45'46.40"W), 17.80950   (17°48'34.20"N), -91.02463   (91°01'28.67"W), 17.84321   (17°50'35.56"N), -88.74296   (88°44'34.66"W),14201,16141,7101,8071,7101,8071,,,24,7.11,3.6,6.131,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78316,-89.89778,19.72975,-91.07053,19.76737,-88.76289,17.8095,-91.02463,17.84321,-88.74296
63,LE70200472010018ASN00,LE70200472010018ASN00,0,Y,LE70200472010018ASN00,BUMPER,ASN,DAY, 020, 047,2010/01/18,2010:018:16:14:16.2136249,2010:018:16:14:42.9676250, 9, 9,  23.51,  36.70,   0.42,  12.49,  44.44,41.61914825,142.77389526,18°47'00.20"N,89°52'56.28"W,19°43'04.76"N,90°35'45.74"W,19°27'24.55"N,88°47'56.22"W,18°06'09.65"N,90°57'28.62"W,17°50'38.18"N,89°10'39.90"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-7.093169,HH,HH,HH,HH,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72447   (19°43'28.09"N), -91.06468  (91°03'52.85"W), 19.76203   (19°45'43.31"N), -88.75425  (88°45'15.30"W), 17.81503   (17°48'54.11"N), -91.01910   (91°01'08.76"W), 17.84871   (17°50'55.36"N), -88.73452   (88°44'04.27"W),14121,16161,7061,8081,7061,8081,,,34,5.44,4.169,3.495,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78339,-89.8823,19.72447,-91.06468,19.76203,-88.75425,17.81503,-91.0191,17.84871,-88.73452
64,LE70200472010002ASN00,LE70200472010002ASN00,0,Y,LE70200472010002ASN00,BUMPER,ASN,DAY, 020, 047,2010/01/02,2010:002:16:14:01.2894374,2010:002:16:14:28.0433750, 9, 9,  56.73,  20.89,  25.23,  81.79,  99.01,40.51855469,146.19226074,18°46'58.22"N,89°51'50.62"W,19°43'09.91"N,90°34'38.57"W,19°27'29.27"N,88°46'49.84"W,18°06'15.08"N,90°56'19.68"W,17°50'43.51"N,89°09'31.61"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-8.994607,HH,HH,HH,HH,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73053   (19°43'49.91"N), -91.03626  (91°02'10.54"W), 19.76771   (19°46'03.76"N), -88.72855  (88°43'42.78"W), 17.81020   (17°48'36.72"N), -90.99074   (90°59'26.66"W), 17.84351   (17°50'36.64"N), -88.70900   (88°42'32.40"W),14201,16141,7101,8071,7101,8071,,,17,4.68,3.36,3.258,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78284,-89.86406,19.73053,-91.03626,19.76771,-88.72855,17.8102,-90.99074,17.84351,-88.709
65,LE70200472009335ASN00,LE70200472009335ASN00,0,Y,LE70200472009335ASN00,BUMPER,ASN,DAY, 020, 047,2009/12/01,2009:335:16:13:30.4833750,2009:335:16:13:57.2373750, 9, 9,  38.47,  40.15,  43.88,  28.74,  41.12,43.17609787,149.22338867,18°46'57.65"N,89°50'07.37"W,19°43'04.33"N,90°32'52.04"W,19°27'23.94"N,88°45'09.22"W,18°06'07.20"N,90°54'36.58"W,17°50'35.59"N,89°07'54.37"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-.728039,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.72846   (19°43'42.46"N), -91.00763  (91°00'27.47"W), 19.76527   (19°45'54.97"N), -88.69989  (88°41'59.60"W), 17.81077   (17°48'38.77"N), -90.96250   (90°57'45.00"W), 17.84376   (17°50'37.54"N), -88.68070   (88°40'50.52"W),14181,16141,7091,8071,7091,8071,,,,,,,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78268,-89.83538,19.72846,-91.00763,19.76527,-88.69989,17.81077,-90.9625,17.84376,-88.6807
66,LE70200472009319ASN00,LE70200472009319ASN00,0,Y,LE70200472009319ASN00,BUMPER,ASN,DAY, 020, 047,2009/11/15,2009:319:16:13:19.4308124,2009:319:16:13:46.1848124, 9, 9,  27.52,   7.04,  44.66,   8.47,  49.91,46.47392654,148.01229858,18°46'57.25"N,89°50'42.86"W,19°43'05.95"N,90°33'28.40"W,19°27'25.34"N,88°45'46.01"W,18°06'10.08"N,90°55'10.78"W,17°50'38.58"N,89°08'29.08"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,11.986493,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72537   (19°43'31.33"N), -91.02470  (91°01'28.92"W), 19.76237   (19°45'44.53"N), -88.71990  (88°43'11.64"W), 17.81584   (17°48'57.02"N), -90.97956   (90°58'46.42"W), 17.84900   (17°50'56.40"N), -88.70056   (88°42'02.02"W),14121,16121,7061,8061,7061,8061,,,33,3.24,2.561,1.984,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78257,-89.84524,19.72537,-91.0247,19.76237,-88.7199,17.81584,-90.97956,17.849,-88.70056
67,LE70200472009303ASN00,LE70200472009303ASN00,0,Y,LE70200472009303ASN00,BUMPER,ASN,DAY, 020, 047,2009/10/30,2009:303:16:13:05.8266249,2009:303:16:13:32.5805624, 9, 9,  11.43,   0.25,  26.37,   0.38,  18.70,50.47360611,144.39517212,18°46'57.25"N,89°50'53.88"W,19°43'09.44"N,90°33'38.81"W,19°27'28.51"N,88°45'54.32"W,18°06'14.18"N,90°55'22.80"W,17°50'41.89"N,89°08'39.16"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,14.802571,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72801   (19°43'40.84"N), -91.02763  (91°01'39.47"W), 19.76508   (19°45'54.29"N), -88.71993  (88°43'11.75"W), 17.81578   (17°48'56.81"N), -90.98239   (90°58'56.60"W), 17.84900   (17°50'56.40"N), -88.70056   (88°42'02.02"W),14141,16141,7071,8071,7071,8071,,,27,5.189,4.139,3.129,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78257,-89.8483,19.72801,-91.02763,19.76508,-88.71993,17.81578,-90.98239,17.849,-88.70056
