Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,Spacecraft Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,WRS Type,Date Acquired,Start Time,Stop Time,Sensor Anomalies,Acquisition Quality,Quality Band 1,Quality Band 2,Quality Band 3,Quality Band 4,Quality Band 5,Quality Band 6,Quality Band 7,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Browse  Exists,Data Category,Map Projection LORa,Data Type L0Rp,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Reflective Samples,Reflective Lines,Thermal Lines,Thermal Samples,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Geometric RMSE Verify,Map Projection Level 1,Datum,Ellipsoid,UTM Zone,Vertical Long from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec
133,LT50200471995193XXX02,LT50200471995193XXX02,0,Y,LT50200471995193XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/07/12,1995:193:15:27:38.91119,1995:193:15:28:05.88663,N,7,7,7,7,7,7,7,7,80,80,80,70,70,53.13361462,78.15467584, 18.78862   (18°47'19.03"N), -89.87501   (89°52'30.04"W), 19.70744   (19°42'26.78"N), -90.56412  (90°33'50.83"W), 19.45405   (19°27'14.58"N), -88.82133   (88°49'16.79"W), 18.11786   (18°07'04.30"N), -90.92090   (90°55'15.24"W), 17.86676 (17°52'00.34"N), -89.19390   (89°11'38.04"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.71507   (19°42'54.25"N), -91.00158   (91°00'05.69"S), 19.75103   (19°45'03.71"N), -88.77130   (88°46'16.68"S), 17.81630   (17°48'58.68"N), -90.95697  (90°57'25.09"W), 17.84855   (17°50'54.78"N), -88.75150   (88°45'05.40"S),,,,,,,,,,,,,,,,,,,,,,18.78862,-89.87501,19.71507,-91.00158,19.75103,-88.7713,17.8163,-90.95697,17.84855,-88.7515
134,LT50200471995177AAA01,LT50200471995177AAA01,0,Y,LT50200471995177AAA01,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1995/06/26,1995:177:15:28:23.38400,1995:177:15:28:50.35794,N,9,9,9,9,9,9,9,9,50,60,50,80,40,53.98339538,75.85360409, 18.79140   (18°47'29.04"N), -89.87208   (89°52'19.49"W), 19.71023   (19°42'36.83"N), -90.56120  (90°33'40.32"W), 19.45682   (19°27'24.55"N), -88.81838   (88°49'06.17"W), 18.12065   (18°07'14.34"N), -90.91798   (90°55'04.73"W), 17.86954 (17°52'10.34"N), -89.19096   (89°11'27.46"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.72872   (19°43'43.39"N), -90.99621   (90°59'46.36"S), 19.76460   (19°45'52.56"N), -88.76859   (88°46'06.92"S), 17.82723   (17°49'38.03"N), -90.95156  (90°57'05.62"W), 17.85942   (17°51'33.91"N), -88.74878   (88°44'55.61"S),,,,,,,,,,,,,,,,,,,,,,18.7914,-89.87208,19.72872,-90.99621,19.7646,-88.76859,17.82723,-90.95156,17.85942,-88.74878
135,LT50200471995161XXX01,LT50200471995161XXX01,0,Y,LT50200471995161XXX01,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/06/10,1995:161:15:29:05.80231,1995:161:15:29:32.77494,N,9,9,9,9,9,9,9,9,20,20,20,30,30,54.92771718,76.46657385, 18.78770   (18°47'15.72"N), -89.86315   (89°51'47.34"W), 19.70652   (19°42'23.47"N), -90.55225  (90°33'08.10"W), 19.45313   (19°27'11.27"N), -88.80947   (88°48'34.09"W), 18.11694   (18°07'00.98"N), -90.90903   (90°54'32.51"W), 17.86584 (17°51'57.02"N), -89.18204   (89°10'55.34"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.72331   (19°43'23.92"N), -90.99608   (90°59'45.89"S), 19.75930   (19°45'33.48"N), -88.75708   (88°45'25.49"S), 17.80289   (17°48'10.40"N), -90.95103  (90°57'03.71"W), 17.83513   (17°50'06.47"N), -88.73722   (88°44'13.99"S),7831,7101,7101,7831,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.7877,-89.86315,19.72331,-90.99608,19.7593,-88.75708,17.80289,-90.95103,17.83513,-88.73722
136,LT50200471995145AAA01,LT50200471995145AAA01,0,Y,LT50200471995145AAA01,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1995/05/25,1995:145:15:29:50.82006,1995:145:15:30:17.79138,N,9,9,9,9,9,9,9,9,0,0,10,0,20,55.61901276,80.13018261, 18.78429   (18°47'03.44"N), -89.86759   (89°52'03.32"W), 19.70311   (19°42'11.20"N), -90.55668  (90°33'24.05"W), 19.44972   (19°26'58.99"N), -88.81393   (88°48'50.15"W), 18.11353   (18°06'48.71"N), -90.91345   (90°54'48.42"W), 17.86243 (17°51'44.75"N), -89.18649   (89°11'11.36"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.71771   (19°43'03.76"N), -91.00451   (91°00'16.24"S), 19.75388   (19°45'13.97"N), -88.75702   (88°45'25.27"S), 17.79731   (17°47'50.32"N), -90.95938  (90°57'33.77"W), 17.82971   (17°49'46.96"N), -88.73717   (88°44'13.81"S),7861,7101,7101,7861,1,5.912,4.867,3.356,.43,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78429,-89.86759,19.71771,-91.00451,19.75388,-88.75702,17.79731,-90.95938,17.82971,-88.73717
137,LT50200471995129XXX01,LT50200471995129XXX01,0,Y,LT50200471995129XXX01,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/05/09,1995:129:15:30:34.06081,1995:129:15:31:01.03119,N,9,9,9,9,9,9,9,9,20,0,50,0,40,55.54423939,86.51164589, 18.78982   (18°47'23.35"N), -89.86644   (89°51'59.18"W), 19.70865   (19°42'31.14"N), -90.55555  (90°33'19.98"W), 19.45525   (19°27'18.90"N), -88.81275   (88°48'45.90"W), 18.11906   (18°07'08.62"N), -90.91233   (90°54'44.39"W), 17.86796 (17°52'04.66"N), -89.18532   (89°11'07.15"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72041   (19°43'13.48"N), -91.00458   (91°00'16.49"S), 19.75662   (19°45'23.83"N), -88.75419   (88°45'15.08"S), 17.80272   (17°48'09.79"N), -90.95950  (90°57'34.20"W), 17.83515   (17°50'06.54"N), -88.73439   (88°44'03.80"S),7871,7091,7091,7871,1,4.826,3.596,3.219,.35,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78982,-89.86644,19.72041,-91.00458,19.75662,-88.75419,17.80272,-90.9595,17.83515,-88.73439
138,LT50200471995113AAA01,LT50200471995113AAA01,0,Y,LT50200471995113AAA01,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1995/04/23,1995:113:15:31:17.22969,1995:113:15:31:44.19875,N,9,9,9,9,9,9,9,9,0,0,30,0,10,54.29228676,94.6471034, 18.79212   (18°47'31.63"N), -89.86778   (89°52'04.01"W), 19.71095   (19°42'39.42"N), -90.55690  (90°33'24.84"W), 19.45754   (19°27'27.14"N), -88.81407   (88°48'50.65"W), 18.12137   (18°07'16.93"N), -90.91369   (90°54'49.28"W), 17.87026 (17°52'12.94"N), -89.18666   (89°11'11.98"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.72312   (19°43'23.23"N), -91.00464   (91°00'16.70"S), 19.75933   (19°45'33.59"N), -88.75422   (88°45'15.19"S), 17.80542   (17°48'19.51"N), -90.95956  (90°57'34.42"W), 17.83786   (17°50'16.30"N), -88.73442   (88°44'03.91"S),7871,7091,7091,7871,1,4.669,3.343,3.26,.284,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79212,-89.86778,19.72312,-91.00464,19.75933,-88.75422,17.80542,-90.95956,17.83786,-88.73442
139,LT50200471995097XXX01,LT50200471995097XXX01,0,Y,LT50200471995097XXX01,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/04/07,1995:097:15:31:58.27775,1995:097:15:32:25.24556,N,9,9,9,9,9,9,9,9,70,50,70,70,80,51.74810128,103.24357742, 18.78807   (18°47'17.05"N), -89.86559   (89°51'56.12"W), 19.70689   (19°42'24.80"N), -90.55469  (90°33'16.88"W), 19.45350   (19°27'12.60"N), -88.81191   (88°48'42.88"W), 18.11731   (18°07'02.32"N), -90.91147   (90°54'41.29"W), 17.86621 (17°51'58.36"N), -89.18448   (89°11'04.13"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.72061   (19°43'14.20"N), -90.99601   (90°59'45.64"S), 19.75659   (19°45'23.72"N), -88.75705   (88°45'25.38"S), 17.81912   (17°49'08.83"N), -90.95138  (90°57'04.97"W), 17.85139   (17°51'05.00"N), -88.73738   (88°44'14.57"S),,,,,,,,,,,,,,,,,,,,,,18.78807,-89.86559,19.72061,-90.99601,19.75659,-88.75705,17.81912,-90.95138,17.85139,-88.73738
140,LT50200471995081AAA02,LT50200471995081AAA02,0,Y,LT50200471995081AAA02,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1995/03/22,1995:081:15:32:37.08631,1995:081:15:33:04.05144,N,9,9,9,9,9,9,9,9,0,0,0,0,0,48.19169633,111.30838699, 18.78497   (18°47'05.89"N), -89.85770   (89°51'27.72"W), 19.70379   (19°42'13.64"N), -90.54679  (90°32'48.44"W), 19.45040   (19°27'01.44"N), -88.80404   (88°48'14.54"W), 18.11421   (18°06'51.16"N), -90.90356   (90°54'12.82"W), 17.86311 (17°51'47.20"N), -89.17660   (89°10'35.76"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72080   (19°43'14.88"N), -90.98744   (90°59'14.78"S), 19.75667   (19°45'24.01"N), -88.74846   (88°44'54.46"S), 17.80306   (17°48'11.02"N), -90.94255  (90°56'33.18"W), 17.83520   (17°50'06.72"N), -88.72873   (88°43'43.43"S),7831,7091,7091,7831,145,4.068,2.792,2.959,.211,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78497,-89.8577,19.7208,-90.98744,19.75667,-88.74846,17.80306,-90.94255,17.8352,-88.72873
141,LT50200471995065XXX01,LT50200471995065XXX01,0,Y,LT50200471995065XXX01,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/03/06,1995:065:15:33:17.63606,1995:065:15:33:44.59700,N,9,9,9,9,9,9,9,9,70,80,90,20,70,44.18218195,118.45007486, 18.79072   (18°47'26.59"N), -89.86109   (89°51'39.92"W), 19.70955   (19°42'34.38"N), -90.55020  (90°33'00.72"W), 19.45614   (19°27'22.10"N), -88.80739   (88°48'26.60"W), 18.11997   (18°07'11.89"N), -90.90699   (90°54'25.16"W), 17.86886 (17°52'07.90"N), -89.17997   (89°10'47.89"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.72608   (19°43'33.89"N), -90.99329   (90°59'35.84"S), 19.76201   (19°45'43.24"N), -88.75711   (88°45'25.60"S), 17.80835   (17°48'30.06"N), -90.94832  (90°56'53.95"W), 17.84055   (17°50'25.98"N), -88.73727   (88°44'14.17"S),,,,,,,,,,,,,,,,,,,,,,18.79072,-89.86109,19.72608,-90.99329,19.76201,-88.75711,17.80835,-90.94832,17.84055,-88.73727
142,LT50200471995049XXX02,LT50200471995049XXX02,0,Y,LT50200471995049XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/02/18,1995:049:15:33:55.14038,1995:049:15:34:22.10088,N,9,9,9,9,9,9,9,9,40,30,50,30,40,40.33224138,124.64474795, 18.79051   (18°47'25.84"N), -89.85830   (89°51'29.88"W), 19.70934   (19°42'33.62"N), -90.54741  (90°32'50.68"W), 19.45593   (19°27'21.35"N), -88.80460   (88°48'16.56"W), 18.11976   (18°07'11.14"N), -90.90420   (90°54'15.12"W), 17.86865 (17°52'07.14"N), -89.17718   (89°10'37.85"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.72073   (19°43'14.63"N), -90.99030   (90°59'25.08"S), 19.75662   (19°45'23.83"N), -88.75419   (88°45'15.08"S), 17.80300   (17°48'10.80"N), -90.94538  (90°56'43.37"W), 17.83515   (17°50'06.54"N), -88.73439   (88°44'03.80"S),,,,,,,,,,,,,,,,,,,,,,18.79051,-89.8583,19.72073,-90.9903,19.75662,-88.75419,17.803,-90.94538,17.83515,-88.73439
143,LT50200471995033XXX02,LT50200471995033XXX02,0,Y,LT50200471995033XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/02/02,1995:033:15:34:34.41975,1995:033:15:35:01.37900,N,9,9,9,9,9,9,9,9,70,60,80,40,70,37.24218163,129.98534297, 18.79128   (18°47'28.61"N), -89.86807   (89°52'05.05"W), 19.71011   (19°42'36.40"N), -90.55719  (90°33'25.88"W), 19.45670   (19°27'24.12"N), -88.81437   (88°48'51.73"W), 18.12053   (18°07'13.91"N), -90.91397   (90°54'50.29"W), 17.86942 (17°52'09.91"N), -89.18695   (89°11'13.02"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.72312   (19°43'23.23"N), -91.00464   (91°00'16.70"S), 19.75930   (19°45'33.48"N), -88.75708   (88°45'25.49"S), 17.80542   (17°48'19.51"N), -90.95956  (90°57'34.42"W), 17.83784   (17°50'16.22"N), -88.73725   (88°44'14.10"S),,,,,,,,,,,,,,,,,,,,,,18.79128,-89.86807,19.72312,-91.00464,19.7593,-88.75708,17.80542,-90.95956,17.83784,-88.73725
144,LT50200471995017XXX01,LT50200471995017XXX01,0,Y,LT50200471995017XXX01,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/01/17,1995:017:15:35:11.61525,1995:017:15:35:38.57344,N,9,9,9,9,9,9,9,9,0,0,10,0,20,35.35353803,134.43713756, 18.79301   (18°47'34.84"N), -89.87360   (89°52'24.96"W), 19.71184   (19°42'42.62"N), -90.56272  (90°33'45.79"W), 19.45843   (19°27'30.35"N), -88.81989   (88°49'11.60"W), 18.12226   (18°07'20.14"N), -90.91951   (90°55'10.24"W), 17.87115 (17°52'16.14"N), -89.19247   (89°11'32.89"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.72570   (19°43'32.52"N), -91.01042   (91°00'37.51"S), 19.76201   (19°45'43.24"N), -88.75711   (88°45'25.60"S), 17.80801   (17°48'28.84"N), -90.96526  (90°57'54.94"W), 17.84055   (17°50'25.98"N), -88.73727   (88°44'14.17"S),7881,7091,7091,7881,95,4.844,3.168,3.665,.308,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79301,-89.8736,19.7257,-91.01042,19.76201,-88.75711,17.80801,-90.96526,17.84055,-88.73727
145,LT50200471995001XXX01,LT50200471995001XXX01,0,Y,LT50200471995001XXX01,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1995/01/01,1995:001:15:35:46.14075,1995:001:15:36:13.09756,N,9,9,9,9,9,9,9,9,40,60,50,20,50,34.9287336,137.81964427, 18.79302   (18°47'34.87"N), -89.87363   (89°52'25.07"W), 19.71185   (19°42'42.66"N), -90.56275  (90°33'45.90"W), 19.45844   (19°27'30.38"N), -88.81992   (88°49'11.71"W), 18.12227   (18°07'20.17"N), -90.91954   (90°55'10.34"W), 17.87116 (17°52'16.18"N), -89.19250   (89°11'33.00"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.72840   (19°43'42.24"N), -91.01049   (91°00'37.76"S), 19.76472   (19°45'52.99"N), -88.75714   (88°45'25.70"S), 17.80801   (17°48'28.84"N), -90.96526  (90°57'54.94"W), 17.84055   (17°50'25.98"N), -88.73727   (88°44'14.17"S),,,,,,,,,,,,,,,,,,,,,,18.79302,-89.87363,19.7284,-91.01049,19.76472,-88.75714,17.80801,-90.96526,17.84055,-88.73727
146,LT50200471994350XXX02,LT50200471994350XXX02,0,Y,LT50200471994350XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1994/12/16,1994:350:15:36:18.56144,1994:350:15:36:45.51738,N,9,9,9,9,9,9,9,9,10,0,10,20,10,36.00346474,139.82677932, 18.78482   (18°47'05.35"N), -89.87047   (89°52'13.69"W), 19.70364   (19°42'13.10"N), -90.55956  (90°33'34.42"W), 19.45025   (19°27'00.90"N), -88.81681   (88°49'00.52"W), 18.11406   (18°06'50.62"N), -90.91633   (90°54'58.79"W), 17.86296 (17°51'46.66"N), -89.18937   (89°11'21.73"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.71771   (19°43'03.76"N), -91.00451   (91°00'16.24"S), 19.75388   (19°45'13.97"N), -88.75702   (88°45'25.27"S), 17.80001   (17°48'00.04"N), -90.95944  (90°57'33.98"W), 17.83242   (17°49'56.71"N), -88.73719   (88°44'13.88"S),7861,7091,7091,7861,68,6.065,5.213,3.1,.362,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78482,-89.87047,19.71771,-91.00451,19.75388,-88.75702,17.80001,-90.95944,17.83242,-88.73719
147,LT50200471994334XXX02,LT50200471994334XXX02,0,Y,LT50200471994334XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1994/11/30,1994:334:15:36:48.12225,1994:334:15:37:15.07713,N,9,9,9,9,9,9,9,9,40,40,20,40,40,38.37753364,140.08553529, 18.78381   (18°47'01.72"N), -89.85899   (89°51'32.36"W), 19.70263   (19°42'09.47"N), -90.54808  (90°32'53.09"W), 19.44924   (19°26'57.26"N), -88.80534   (88°48'19.22"W), 18.11305   (18°06'46.98"N), -90.90485   (90°54'17.46"W), 17.86195 (17°51'43.02"N), -89.17789   (89°10'40.40"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.71797   (19°43'04.69"N), -90.99308   (90°59'35.09"S), 19.75391   (19°45'14.08"N), -88.75416   (88°45'14.98"S), 17.79753   (17°47'51.11"N), -90.94808  (90°56'53.09"W), 17.82973   (17°49'47.03"N), -88.73434   (88°44'03.62"S),,,,,,,,,,,,,,,,,,,,,,18.78381,-89.85899,19.71797,-90.99308,19.75391,-88.75416,17.79753,-90.94808,17.82973,-88.73434
148,LT50200471994318AAA02,LT50200471994318AAA02,0,Y,LT50200471994318AAA02,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1994/11/14,1994:318:15:37:19.09388,1994:318:15:37:46.04800,N,9,9,9,9,9,9,9,9,0,0,0,0,0,41.6682496,138.25671039, 18.78735   (18°47'14.46"N), -89.85744   (89°51'26.78"W), 19.70617   (19°42'22.21"N), -90.54654  (90°32'47.54"W), 19.45278   (19°27'10.01"N), -88.80376   (88°48'13.54"W), 18.11659   (18°06'59.72"N), -90.90332   (90°54'11.95"W), 17.86549 (17°51'55.76"N), -89.17633   (89°10'34.79"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.72086   (19°43'15.10"N), -90.98458   (90°59'04.49"S), 19.75667   (19°45'24.01"N), -88.74846   (88°44'54.46"S), 17.80041   (17°48'01.48"N), -90.93967  (90°56'22.81"W), 17.83249   (17°49'56.96"N), -88.72871   (88°43'43.36"S),7821,7101,7101,7821,105,4.834,3.54,3.292,.354,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78735,-89.85744,19.72086,-90.98458,19.75667,-88.74846,17.80041,-90.93967,17.83249,-88.72871
149,LT50200471994302XXX02,LT50200471994302XXX02,0,Y,LT50200471994302XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1994/10/29,1994:302:15:37:52.60913,1994:302:15:38:19.56225,N,9,9,9,9,9,9,9,9,0,0,0,0,0,45.36004878,134.08842434, 18.78820   (18°47'17.52"N), -89.87189   (89°52'18.80"W), 19.70702   (19°42'25.27"N), -90.56099  (90°33'39.56"W), 19.45363   (19°27'13.07"N), -88.81821   (88°49'05.56"W), 18.11744   (18°07'02.78"N), -90.91777   (90°55'03.97"W), 17.86634 (17°51'58.82"N), -89.19078   (89°11'26.81"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.71777   (19°43'03.97"N), -91.00165   (91°00'05.94"S), 19.75382   (19°45'13.75"N), -88.76275   (88°45'45.90"S), 17.80007   (17°48'00.25"N), -90.95661  (90°57'23.80"W), 17.83237   (17°49'56.53"N), -88.74285   (88°44'34.26"S),7831,7091,7091,7831,101,4.546,3.255,3.174,.374,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.7882,-89.87189,19.71777,-91.00165,19.75382,-88.76275,17.80007,-90.95661,17.83237,-88.74285
150,LT50200471994286XXX03,LT50200471994286XXX03,0,Y,LT50200471994286XXX03,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1994/10/13,1994:286:15:38:25.57319,1994:286:15:38:52.52450,N,9,9,9,9,9,9,9,9,50,50,40,90,30,48.89170116,127.522119, 18.78877   (18°47'19.57"N), -89.88767   (89°53'15.61"W), 19.70759   (19°42'27.32"N), -90.57678  (90°34'36.41"W), 19.45420   (19°27'15.12"N), -88.83398   (88°50'02.33"W), 18.11801   (18°07'04.84"N), -90.93356   (90°56'00.82"W), 17.86691 (17°52'00.88"N), -89.20656   (89°12'23.62"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.72267   (19°43'21.61"N), -91.02463   (91°01'28.67"S), 19.75907   (19°45'32.65"N), -88.77998   (88°46'47.93"S), 17.80231   (17°48'08.32"N), -90.97926  (90°58'45.34"W), 17.83493   (17°50'05.75"N), -88.75986   (88°45'35.50"S),,,,,,,,,,,,,,,,,,,,,,18.78877,-89.88767,19.72267,-91.02463,19.75907,-88.77998,17.80231,-90.97926,17.83493,-88.75986
151,LT50200471994270XXX02,LT50200471994270XXX02,0,Y,LT50200471994270XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1994/09/27,1994:270:15:38:54.45281,1994:270:15:39:21.40294,N,9,9,9,9,9,9,9,9,80,60,80,80,80,51.77680738,118.86576898, 18.79232   (18°47'32.35"N), -89.89178   (89°53'30.41"W), 19.71115   (19°42'40.14"N), -90.58090  (90°34'51.24"W), 19.45774   (19°27'27.86"N), -88.83807   (88°50'17.05"W), 18.12157   (18°07'17.65"N), -90.93769   (90°56'15.68"W), 17.87046 (17°52'13.66"N), -89.21066   (89°12'38.38"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,PREDICTIVE, 19.72518   (19°43'30.65"N), -91.03327   (91°01'59.77"S), 19.76178   (19°45'42.41"N), -88.78001   (88°46'48.04"S), 17.80485   (17°48'17.46"N), -90.98780  (90°59'16.08"W), 17.83764   (17°50'15.50"N), -88.75989   (88°45'35.60"S),7881,7101,7101,7881,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79232,-89.89178,19.72518,-91.03327,19.76178,-88.78001,17.80485,-90.9878,17.83764,-88.75989
152,LT50200471994254XXX02,LT50200471994254XXX02,0,Y,LT50200471994254XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1994/09/11,1994:254:15:39:20.73613,1994:254:15:39:47.68481,N,9,9,9,9,9,9,9,9,30,20,20,40,40,53.75426226,108.92503588, 18.79134   (18°47'28.82"N), -89.89062   (89°53'26.23"W), 19.71017   (19°42'36.61"N), -90.57974  (90°34'47.06"W), 19.45676   (19°27'24.34"N), -88.83692   (88°50'12.91"W), 18.12059   (18°07'14.12"N), -90.93652   (90°56'11.47"W), 17.86948 (17°52'10.13"N), -89.20950   (89°12'34.20"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,PREDICTIVE, 19.72525   (19°43'30.90"N), -91.03041   (91°01'49.48"S), 19.76178   (19°45'42.41"N), -88.78001   (88°46'48.04"S), 17.80490   (17°48'17.64"N), -90.98497  (90°59'05.89"W), 17.83764   (17°50'15.50"N), -88.75989   (88°45'35.60"S),7871,7101,7101,7871,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79134,-89.89062,19.72525,-91.03041,19.76178,-88.78001,17.8049,-90.98497,17.83764,-88.75989
153,LT50200471994238XXX02,LT50200471994238XXX02,0,Y,LT50200471994238XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1994/08/26,1994:238:15:39:44.89906,1994:238:15:40:11.84619,N,9,9,9,9,9,9,9,9,50,10,20,40,40,54.86113737,98.84552798, 18.79591   (18°47'45.28"N), -89.88493   (89°53'05.75"W), 19.71474   (19°42'53.06"N), -90.57406  (90°34'26.62"W), 19.46133   (19°27'40.79"N), -88.83120   (88°49'52.32"W), 18.12516   (18°07'30.58"N), -90.93086   (90°55'51.10"W), 17.87404 (17°52'26.54"N), -89.20379   (89°12'13.64"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,PREDICTIVE, 19.72808   (19°43'41.09"N), -91.02477   (91°01'29.17"S), 19.76455   (19°45'52.38"N), -88.77431   (88°46'27.52"S), 17.81043   (17°48'37.55"N), -90.97944  (90°58'45.98"W), 17.84311   (17°50'35.20"N), -88.75428   (88°45'15.41"S),7871,7091,7091,7871,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79591,-89.88493,19.72808,-91.02477,19.76455,-88.77431,17.81043,-90.97944,17.84311,-88.75428
